< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
,,,,화물밴형 1톤 이하,51805 ,20330 ,21038 ,26855 ,10651 ,11159 ,7375 ,1360 ,85789 ,13035 ,11819 ,13449 ,13277 ,13295 ,24596 ,24259 ,8027 ,358119 
,,,,화물밴형 5톤 미만,427 ,184 ,176 ,200 ,117 ,138 ,42 ,25 ,1200 ,209 ,192 ,275 ,221 ,257 ,299 ,259 ,79 ,4300 
,,,,화물밴형 5톤 이상,13 ,11 ,13 ,3 ,11 ,8 ,2 ,1 ,41 ,4 ,9 ,9 ,15 ,10 ,26 ,7 ,1 ,184 
,,화물특수용도형 계,,,65677 ,38821 ,29144 ,41444 ,17483 ,16597 ,12729 ,2974 ,156769 ,23896 ,25050 ,34246 ,26628 ,33451 ,43405 ,39706 ,10676 ,618696 
,,,화물특수용도형(청소자),,1258 ,497 ,683 ,485 ,448 ,216 ,282 ,72 ,2272 ,833 ,577 ,932 ,853 ,1705 ,1544 ,1117 ,292 ,14066 
,,,화물특수용도형(노면청소차),,295 ,121 ,103 ,185 ,48 ,37 ,44 ,14 ,440 ,129 ,95 ,88 ,123 ,77 ,123 ,125 ,39 ,2086 
,,,화물특수용도형(살수차),,207 ,24 ,42 ,80 ,21 ,8 ,23 ,5 ,194 ,67 ,73 ,69 ,90 ,146 ,148 ,74 ,31 ,1302 
,,,화물특수용도형(소방차),,253 ,167 ,165 ,209 ,104 ,117 ,160 ,37 ,755 ,334 ,259 ,371 ,318 ,436 ,450 ,423 ,80 ,4638 
,,,"화물특수용도형(냉장,냉동차)",,17156 ,7386 ,6909 ,7007 ,4318 ,4036 ,1942 ,517 ,38229 ,5310 ,4859 ,5920 ,5575 ,5364 ,7403 ,7574 ,2824 ,132329 
,,,"화물특수용도형(곡물,사료운반)",,110 ,51 ,70 ,386 ,42 ,38 ,21 ,5 ,348 ,54 ,90 ,147 ,319 ,198 ,258 ,148 ,40 ,2325 
,,,유조차 소계,,545 ,465 ,401 ,915 ,202 ,209 ,379 ,61 ,2800 ,847 ,803 ,1126 ,884 ,1206 ,1607 ,1455 ,235 ,14140 
,,,,유조차(항공유),38 ,9 ,10 ,27 ,  ,11 ,17 ,  ,43 ,14 ,23 ,20 ,13 ,18 ,13 ,16 ,9 ,281 
,,,,유조차(휘발유),8 ,1 ,2 ,8 ,5 ,1 ,3 ,  ,16 ,1 ,5 ,3 ,10 ,5 ,11 ,5 ,2 ,86 
,,,,"유조차(등유, 경유)",441 ,396 ,350 ,750 ,172 ,166 ,316 ,58 ,2413 ,744 ,677 ,949 ,713 ,1019 ,1416 ,1266 ,197 ,12043 
,,,,유조차(방카C유),  ,1 ,2 ,4 ,2 ,  ,4 ,  ,12 ,1 ,3 ,  ,1 ,5 ,4 ,4 ,1 ,44 
,,,,유조차(기타),58 ,58 ,37 ,126 ,23 ,31 ,39 ,3 ,316 ,87 ,95 ,154 ,147 ,159 ,163 ,164 ,26 ,1686 
,,,탱크로리 소계,,655 ,256 ,229 ,591 ,94 ,132 ,284 ,108 ,1989 ,515 ,526 ,791 ,700 ,735 ,1040 ,796 ,279 ,9720 
,,,,"탱크로리(식수, 음료)",15 ,2 ,4 ,10 ,8 ,6 ,4 ,11 ,72 ,12 ,13 ,23 ,18 ,17 ,29 ,28 ,3 ,275 
,,,,탱크로리(압축가스),21 ,16 ,25 ,41 ,10 ,12 ,12 ,4 ,176 ,46 ,57 ,64 ,35 ,41 ,63 ,52 ,47 ,722 
,,,,탱크로리(화공약품),16 ,7 ,6 ,39 ,2 ,2 ,18 ,  ,64 ,8 ,6 ,26 ,20 ,21 ,21 ,19 ,  ,275 
,,,,탱크로리(기타),603 ,231 ,194 ,501 ,74 ,112 ,250 ,93 ,1677 ,449 ,450 ,678 ,627 ,656 ,927 ,697 ,229 ,8448 
,,,피견인차 소계,,4854 ,14973 ,3108 ,12505 ,3192 ,2858 ,4565 ,638 ,21309 ,3056 ,5415 ,7468 ,4109 ,8307 ,8670 ,7438 ,605 ,113070 
,,,,피견인차(적재함형),934 ,590 ,644 ,884 ,449 ,584 ,328 ,238 ,3941 ,556 ,736 ,903 ,436 ,606 ,859 ,754 ,60 ,13502 
,,,,피견인차(저상형),173 ,467 ,166 ,416 ,107 ,104 ,213 ,17 ,735 ,175 ,161 ,328 ,199 ,319 ,377 ,508 ,39 ,4504 
,,,,피견인차(평판형),384 ,1379 ,330 ,1096 ,355 ,300 ,687 ,22 ,1454 ,251 ,415 ,946 ,478 ,1441 ,2110 ,1206 ,87 ,12941 
